"filename", "language", "JavaScript", "Markdown", "JSON", "HTML", "YAML", "comment", "blank", "total"
"c:\Users\olen\Documents\Stream\round 2\chatbot\.github\workflows\node.js.yml", "YAML", 0, 0, 0, 0, 22, 3, 7, 32
"c:\Users\olen\Documents\Stream\round 2\chatbot\.prettierrc", "JSON", 0, 0, 16, 0, 0, 0, 1, 17
"c:\Users\olen\Documents\Stream\round 2\chatbot\CHANGELOG.md", "Markdown", 0, 234, 0, 0, 0, 0, 29, 263
"c:\Users\olen\Documents\Stream\round 2\chatbot\README.md", "Markdown", 0, 413, 0, 0, 0, 0, 87, 500
"c:\Users\olen\Documents\Stream\round 2\chatbot\ecosystem.config.cjs", "JavaScript", 38, 0, 0, 0, 0, 0, 1, 39
"c:\Users\olen\Documents\Stream\round 2\chatbot\eslint.config.js", "JavaScript", 105, 0, 0, 0, 0, 0, 2, 107
"c:\Users\olen\Documents\Stream\round 2\chatbot\index.js", "JavaScript", 12, 0, 0, 0, 0, 1, 3, 16
"c:\Users\olen\Documents\Stream\round 2\chatbot\jest.setup.js", "JavaScript", 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\olen\Documents\Stream\round 2\chatbot\package.json", "JSON", 0, 0, 85, 0, 0, 0, 1, 86
"c:\Users\olen\Documents\Stream\round 2\chatbot\renovate.json", "JSON", 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\auth\auth-server.js", "JavaScript", 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\auth\botAuthServer.js", "JavaScript", 46, 0, 0, 0, 0, 1, 9, 56
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\auth\broadcasterAuthServer.js", "JavaScript", 52, 0, 0, 0, 0, 2, 11, 65
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\auth\get-auth-url.js", "JavaScript", 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\auth\get-refresh-token.js", "JavaScript", 22, 0, 0, 0, 0, 1, 5, 28
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\auth\getBotToken.js", "JavaScript", 28, 0, 0, 0, 0, 1, 6, 35
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\auth\getBroadcasterToken.js", "JavaScript", 27, 0, 0, 0, 0, 1, 7, 35
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\auth\getRefreshToken.js", "JavaScript", 52, 0, 0, 0, 0, 0, 12, 64
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\auth\getTwitchToken.js", "JavaScript", 34, 0, 0, 0, 0, 0, 6, 40
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\auth\spotifyAuth.js", "JavaScript", 18, 0, 0, 0, 0, 1, 5, 24
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\auth\tokenManager.js", "JavaScript", 158, 0, 0, 0, 0, 12, 27, 197
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\analytics.js", "JavaScript", 182, 0, 0, 0, 0, 15, 29, 226
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\analytics.json", "JSON", 0, 0, 1845, 0, 0, 0, 0, 1845
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\bot.js", "JavaScript", 425, 0, 0, 0, 0, 20, 25, 470
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\channelPoints.js", "JavaScript", 228, 0, 0, 0, 0, 2, 26, 256
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\channel_points.json", "JSON", 0, 0, 26, 0, 0, 0, 0, 26
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\chatInteraction.js", "JavaScript", 336, 0, 0, 0, 0, 29, 50, 415
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\chat_learning.json", "JSON", 0, 0, 69, 0, 0, 0, 0, 69
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\clipManager.js", "JavaScript", 233, 0, 0, 0, 0, 9, 43, 285
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\clips.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\clips_data.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 7
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\commands\analytics.js", "JavaScript", 103, 0, 0, 0, 0, 11, 21, 135
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\commands\clipManagement.js", "JavaScript", 124, 0, 0, 0, 0, 14, 27, 165
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\commands\clips.js", "JavaScript", 117, 0, 0, 0, 0, 10, 23, 150
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\commands\competitor.js", "JavaScript", 118, 0, 0, 0, 0, 2, 14, 134
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\commands\customCommands.js", "JavaScript", 143, 0, 0, 0, 0, 3, 30, 176
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\commands\followProtection.js", "JavaScript", 62, 0, 0, 0, 0, 7, 9, 78
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\commands\games.js", "JavaScript", 343, 0, 0, 0, 0, 14, 55, 412
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\commands\index.js", "JavaScript", 71, 0, 0, 0, 0, 9, 11, 91
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\commands\moderation.js", "JavaScript", 115, 0, 0, 0, 0, 15, 24, 154
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\commands\ping.js", "JavaScript", 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\commands\queue.js", "JavaScript", 251, 0, 0, 0, 0, 9, 33, 293
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\commands\roast.js", "JavaScript", 60, 0, 0, 0, 0, 2, 8, 70
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\commands\streamInsights.js", "JavaScript", 256, 0, 0, 0, 0, 28, 41, 325
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\commands\viewer.js", "JavaScript", 59, 0, 0, 0, 0, 10, 7, 76
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\competitorAnalysis.js", "JavaScript", 324, 0, 0, 0, 0, 13, 46, 383
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\competitor_data.json", "JSON", 0, 0, 79, 0, 0, 0, 0, 79
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\custom_commands.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\followProtection.js", "JavaScript", 164, 0, 0, 0, 0, 18, 32, 214
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\moderationManager.js", "JavaScript", 270, 0, 0, 0, 0, 7, 40, 317
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\moderation_data.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 14
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\streamAnalytics.js", "JavaScript", 285, 0, 0, 0, 0, 5, 33, 323
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\streamManager.js", "JavaScript", 283, 0, 0, 0, 0, 20, 43, 346
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\stream_analytics.json", "JSON", 0, 0, 91, 0, 0, 0, 0, 91
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\stream_data.json", "JSON", 0, 0, 445, 0, 0, 0, 0, 445
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\twitchClient.js", "JavaScript", 647, 0, 0, 0, 0, 48, 82, 777
"c:\Users\olen\Documents\Stream\round 2\chatbot\src\bot\viewerManager.js", "JavaScript", 160, 0, 0, 0, 0, 5, 24, 189
